rank,language,pci,ubiquity,total_repos
1,Erlang,1.6733053468987806,5,33
2,Puppet,1.59088156442687,6,33
3,Fortran,1.578445895696061,12,71
4,Julia,1.502095598390698,10,65
5,Common Lisp,1.491248468877411,5,101
6,VimL,1.464575354298987,14,68
7,CoffeeScript,1.3672087627378597,15,119
8,Nix,1.3651791968664897,10,39
9,Matlab,1.2859671448513315,11,82
10,Objective-C,1.2427348165562004,12,386
11,SourcePawn,1.211578774044685,2,76
12,Jinja,1.1215527639134384,11,35
13,Verilog,1.0863076131538458,6,65
14,Elixir,1.0464047060693606,16,181
15,Vim script,0.9860318019764172,16,87
16,Smarty,0.923250765530569,12,47
17,Clojure,0.8737324452289074,13,74
18,Emacs Lisp,0.8106424448595031,10,75
19,Scala,0.7766042251886659,15,158
20,R,0.7652706200976769,23,779
21,Roff,0.7523363001353863,19,45
22,Groovy,0.6402719126109483,16,107
23,CMake,0.633910771626414,15,63
24,VHDL,0.6171182296052596,17,95
25,Makefile,0.5945671398467922,28,277
26,Mathematica,0.5835689754889724,9,44
27,Rich Text Format,0.5404796821421017,16,43
28,Racket,0.5330281665047316,9,33
29,SystemVerilog,0.5298578221588016,7,31
30,Arduino,0.5297541709960194,20,123
31,Perl,0.5165656356216259,13,154
32,MDX,0.49385667479554196,19,53
33,Haskell,0.47260529506673804,17,357
34,Processing,0.4543761236977978,14,162
35,Vim Script,0.3684938564965829,24,66
36,Swift,0.34072844243489375,19,744
37,Papyrus,0.29602730191188764,24,142
38,Prolog,0.2893987599836521,23,104
39,MATLAB,0.26531566522235117,20,205
40,Ruby,0.1661164121796172,18,3548
41,TeX,0.16471526585100335,37,569
42,GDScript,0.1471961562954694,29,249
43,ASP,0.11557529692275041,13,33
44,OpenSCAD,0.10427012515082557,12,32
45,Batchfile,0.10271056888566968,21,102
46,Assembly,0.01279110482344371,25,308
47,HCL,0.0028632092333526855,27,251
48,Hack,0.0026907617837027505,25,91
49,PLpgSQL,0.0022536566368708917,21,102
50,Smalltalk,-0.018757028789550066,18,127
51,Liquid,-0.0573222543104438,10,30
52,Lua,-0.06973883064086284,29,455
53,Rust,-0.09004797350951643,27,563
54,Svelte,-0.11211812005894965,25,208
55,VBA,-0.17585066470732244,12,34
56,Visual Basic,-0.19089709067493846,19,79
57,Handlebars,-0.20644952038388287,37,155
58,Dockerfile,-0.2382142686855824,46,598
59,Pug,-0.2538167422245106,23,49
60,Solidity,-0.29079954919657697,24,312
61,PowerShell,-0.34518067875672725,19,203
62,ShaderLab,-0.42331039580240887,25,250
63,Shell,-0.5101199928405108,52,2369
64,Blade,-0.6480079158465455,41,212
65,ASP.NET,-0.6544410470437915,17,67
66,Visual Basic .NET,-0.668292274753388,24,124
67,TSQL,-0.7547825869793063,36,281
68,Pascal,-0.7604565226919994,21,342
69,Jupyter Notebook,-0.7878014625157572,57,5499
70,Wollok,-0.9084559792347859,12,57
71,C,-0.9169343810595164,49,4049
72,Kotlin,-0.9442555811558212,56,1452
73,Astro,-1.0608661701164752,59,954
74,Go,-1.0987256879935514,39,2065
75,Dart,-1.1834033751419792,40,909
76,EJS,-1.1960054189286367,49,450
77,Python,-1.292683316816891,82,20572
78,C#,-1.3231780089441374,60,7272
79,Vue,-1.3482482427357925,57,1556
80,PHP,-1.3640034393760079,75,7551
81,C++,-1.3731805078416228,58,3979
82,Java,-1.426827676421865,86,18536
83,SCSS,-1.729735907069952,76,1257
84,CSS,-2.2512519226758356,124,12095
85,TypeScript,-2.405658596981932,79,23772
86,HTML,-2.4071937447494207,129,30960
87,JavaScript,-2.9494489161161797,110,67689
