dpto5,departamento,mca_cluster_label,eci_software,pob_2010,pct_jefe_sec_2010,pct_pc_2010,pct_nbi_2010,rad_2014
18007,Bella Vista,Peripheral-Deprived,1.3889186203465198,37181.0,23.933625165428076,23.760561946452203,16.105059554107708,15.617670916645617
54007,Apóstoles,Peripheral-Deprived,0.9089545239494636,42249.0,26.635514018691588,26.194184839044652,19.946348217376254,12.94452478035724
22168,25 de Mayo,Peripheral-Deprived,-0.1832676944989586,29215.0,14.763674986723315,17.578332448220923,26.088688263409452,16.788223228856815
14126,San Alberto,Peripheral-Deprived,-0.2692484740335904,37004.0,28.963178294573645,29.29263565891473,13.594961240310077,19.098967688394314
54098,San Ignacio,Peripheral-Deprived,-0.45414682560349495,57728.0,19.913726500128767,20.435230491887715,19.733453515323205,6.836878467584256
54077,Libertador General San Martín,Peripheral-Deprived,-0.47659737389132145,46561.0,21.017959375735238,25.67641753587954,15.888949886283429,11.54268943123973
50056,Lavalle,Peripheral-Deprived,-0.7873493956539601,36738.0,13.475024274463264,22.764052217067643,18.40543747977128,6.836983444869192
18084,Ituzaingó,Peripheral-Deprived,-0.9234556874040311,31150.0,25.038843073981116,28.492888729532687,16.887773395482252,5.721101573300549
90070,Monteros,Peripheral-Deprived,-1.1401065946253774,63641.0,24.93100852985449,24.485699949824387,13.390617160060211,12.358505457360456
22105,9 de Julio,Peripheral-Deprived,-1.4804374526992397,28555.0,20.902795588612463,22.980251346499102,20.325724544755065,37.7117008258741
90049,La Cocha,Peripheral-Deprived,-1.97648352433398,19002.0,15.51986108096375,15.693509876275233,20.425439548513133,4.066507898418898
54014,Cainguás,Peripheral-Deprived,-2.0506145084983083,53403.0,13.352331966358518,15.298533398206715,15.138666852019185,6.185651581186613
90112,Trancas,Peripheral-Deprived,-2.069218468945733,17371.0,15.897320423328079,15.469488853861742,23.035352398108532,5.077747465697225
38094,Tilcara,Semi-Rural-Active,0.20444085977211035,12349.0,26.111274654106566,23.049749779216956,18.63408890197233,4.047057795113966
54119,25 de Mayo,Semi-Rural-Active,-0.007785019909930928,27754.0,8.85907823084075,12.206136273077433,15.008633284632753,1.3609453618804048
10105,Tinogasta,Semi-Rural-Active,-0.45916468169804575,22360.0,32.08044840092318,26.2776129244972,10.8143752060666,6.622018923047777
66077,La Caldera,Semi-Rural-Active,-1.402608941064634,7763.0,48.18007662835249,39.84674329501916,15.229885057471265,7.532950064388713
54084,Montecarlo,Semi-Rural-Active,-2.0506145084983083,36745.0,21.96838347781744,24.04895461499235,14.63539010708822,7.328242096774487
