variable,domain,national_r,national_n,metro_core_r,metro_core_n,metro_div_r,metro_div_n,pamp_educ_r,pamp_educ_n,interm_urb_r,interm_urb_n,periph_depr_r,periph_depr_n,semi_rural_r,semi_rural_n
pct_jefe_uni_2010,Cultural capital,0.425,224,0.305,53,0.188,46,0.373,58,0.024,49,0.611,13,-0.452,5
pct_18a29_2010,Demography,0.319,224,0.428,53,0.116,46,0.238,58,0.044,49,-0.145,13,0.201,5
pct_cloaca_2010,Infrastructure,-0.215,224,-0.149,53,-0.192,46,-0.245,58,0.397,49,-0.481,13,-0.067,5
pct_jefa_muj_2010,Demography,0.281,224,0.347,53,-0.001,46,-0.040,58,0.199,49,0.188,13,0.238,5
pop_growth_pct,Demography,-0.005,224,-0.322,53,-0.045,46,0.082,58,0.078,49,-0.048,13,-0.191,5
delta_jefe_uni,Change 2010-2022,0.310,224,0.344,53,0.041,46,0.275,58,0.118,49,0.303,13,-0.479,5
pct_fast_internet,Digital infrastructure,0.218,224,0.116,53,-0.060,46,0.043,58,0.211,49,-0.630,13,0.354,5
entropy_2010,Demographic structure,-0.443,224,-0.222,53,-0.334,46,-0.329,58,-0.259,49,-0.410,13,0.689,5
delta_pc,Change 2010-2022,-0.348,224,0.007,53,-0.316,46,-0.174,58,-0.191,49,-0.486,13,-0.144,5
pct_jefe_lim_2010,Cultural capital,0.181,224,-0.300,53,0.212,46,0.287,58,0.294,49,-0.128,13,-0.151,5
pct_marginal_2010,Deprivation,-0.224,224,-0.081,53,0.029,46,0.153,58,-0.257,49,-0.400,13,0.796,5
rad_cv_2022,Spatial inequality,-0.514,224,-0.314,53,-0.130,46,-0.349,58,-0.203,49,-0.475,13,0.787,5
pct_cel_2010,Digital access,0.177,224,-0.190,53,0.293,46,0.032,58,0.217,49,0.182,13,-0.696,5
pct_prop_2010,Housing,-0.140,224,0.008,53,-0.236,46,-0.211,58,0.134,49,-0.058,13,-0.054,5
enacom_n_tech,Digital infrastructure,0.409,224,0.374,53,0.145,46,0.214,58,0.173,49,0.231,13,-0.413,5
inet_penetracion_hog,Digital infrastructure,-0.357,224,-0.285,53,-0.197,46,-0.352,58,-0.130,49,0.250,13,-0.190,5
